epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0,0.12962962687015533,2.3464224338531494,0.21052631735801697,0.07407407462596893,0.1428571492433548,2.017442226409912,0.0,0.0,0.0010000000474974513
1,0.25925925374031067,1.9619317054748535,0.3888888955116272,0.12962962687015533,0.1428571492433548,2.058889150619507,0.0,0.0,0.0010000000474974513
2,0.3333333432674408,1.7285181283950806,0.47058823704719543,0.14814814925193787,0.1428571492433548,1.9846535921096802,0.0,0.0,0.0010000000474974513
3,0.40740740299224854,1.6122993230819702,0.6428571343421936,0.1666666716337204,0.1428571492433548,1.961340308189392,0.0,0.0,0.0010000000474974513
4,0.42592594027519226,1.6756138801574707,0.375,0.1111111119389534,0.1428571492433548,1.952305555343628,0.0,0.0,0.0010000000474974513
5,0.37037035822868347,1.4592607021331787,0.6428571343421936,0.1666666716337204,0.2857142984867096,1.980048418045044,0.0,0.0,0.0010000000474974513
6,0.37037035822868347,1.7293999195098877,0.529411792755127,0.1666666716337204,0.1428571492433548,2.0019819736480713,0.0,0.0,0.0010000000474974513
7,0.42592594027519226,1.4688100814819336,0.6666666865348816,0.18518517911434174,0.2857142984867096,2.003175973892212,0.0,0.0,0.0010000000474974513
8,0.5,1.4680466651916504,0.6000000238418579,0.2222222238779068,0.2857142984867096,2.0079476833343506,0.0,0.0,0.0005000000237487257
9,0.5185185074806213,1.2945574522018433,0.550000011920929,0.20370370149612427,0.2857142984867096,2.042687177658081,0.0,0.0,0.0005000000237487257
